txn_id,utr_ref,amount,txn_date,payer_name,status
TXN-00028,UPI/682890945/001028,6437.63,2026-08-01,Ansari Handicrafts,settled
TXN-00014,SBIN000000001014,41064.65,2026-08-13,Thomas Rubber Estate,settled
TXN-00052,UTIB000000001052,64690.62,2026-08-27,Mukherjee Engineering Works,settled
TXN-00062,HDFC000000001061-PART2,111683.03,2026-08-16,Sharma Electronics Pvt Ltd,settled
TXN-00051,UPI/187805118/001051,139733.24,2026-08-03,Tandon Steel Tubes,settled
TXN-00033,UPI/232880924/001033,40503.21,2026-08-10,Joshi Construction Co,settled
TXN-00007,KKBK000000001007,116991.39,2026-08-07,Mehta Pharmaceuticals,settled
TXN-00067,UPI/981136652/001068,44072.09,2026-08-21,Shinde Construction Materials,settled
TXN-00009,KKBK000000001009,15571.58,2026-08-23,Shekhawat Transport Corp,settled
TXN-00063,UPI/221499273/001062-PART1,56858.03,2026-08-24,Yadav Agri Equipments,settled
TXN-00031,IOBA000000001031,49125.83,2026-08-22,Sinha Dairy Farm,settled
TXN-00054,ICIC000000001054,303523.85,2026-08-05,Nair Spices Export,settled
TXN-00037,UPI/732488174/001037,82091.87,2026-08-12,Iyer Silk Emporium,settled
TXN-00038,CNRB000000001038,20677.04,2026-08-29,Agarwal Sweets & Namkeen,settled
TXN-00020,PUNB000000001020,129920.29,2026-08-05,Krishnamurthy Jewellers,settled
TXN-00010,HDFC000000001010,262696.63,2026-08-19,Chauhan Plywood Industries,settled
TXN-00061,HDFC000000001061-PART1,62332.1,2026-08-15,Sharma Electronics Pvt Ltd,settled
TXN-00065,IOBA000000001063-PART1,8740.71,2026-08-28,Patel Fabrics & Textiles,settled
TXN-00018,UPI/619782256/001018,3186.31,2026-08-10,Fernandes Seafood Exports,settled
TXN-00068,UPI/981136652/001068,118287.69,2026-08-20,Mishra Fertilizers,settled
TXN-00022,YESB000000001022,101051.21,2026-08-12,Jadhav Auto Spares,settled
TXN-00027,UPI/860202867/001027,14156.68,2026-08-19,Saxena IT Solutions,settled
TXN-00004,UTIB000000001004,114163.2,2026-08-24,Wadia Group Trading,settled
TXN-00075,UTIB000000001073,97904.03,2026-08-12,George Timber Merchants,reversed
TXN-00015,CNRB000000001015,13591.16,2026-08-10,D'Souza Bakery Chain,settled
TXN-00059,UPI/806935904/001059,174827.06,2026-08-12,Md. Siddiqui Leather Exp,settled
TXN-00057,UPI/991347187/001057,6097.01,2026-08-08,R. K. Enterprises,settled
TXN-00012,PUNB000000001012,1892.94,2026-08-07,Thakur Rice Mills,settled
TXN-00017,UPI/725487576/001017,10535.49,2026-08-07,Rao Granite Exports,settled
TXN-00035,UPI/948916208/001035,23089.52,2026-08-01,Roy Cement Distributors,settled
TXN-00019,YESB000000001019,8000.71,2026-08-12,Kurien Frozen Foods,settled
TXN-00021,UPI/656869759/001021,186813.25,2026-08-14,Shetty Cashew Industries,settled
TXN-00045,IOBA000000001045,47762.85,2026-08-30,Birla Textiles Outlet,settled
TXN-00023,UTIB000000001023,66568.93,2026-08-26,Sabharwal Imports,settled
TXN-00041,UPI/457087411/001041,145125.17,2026-08-30,Pillai Coir Industries,settled
TXN-00008,UPI/877331970/001008,12197.77,2026-08-12,Singh Auto Components,settled
TXN-00070,ICIC000000001069,17089.05,2026-08-16,Meena Handicraft Emporium,settled
TXN-00069,ICIC000000001069,60732.44,2026-08-14,Oberoi Hotels Supply,settled
TXN-00016,UPI/368902208/001016,50357.88,2026-08-08,Tata Components Dist,settled
TXN-00046,SBIN000000001046,183080.61,2026-08-12,Grover Bakery Products,settled
TXN-00026,CNRB000000001026,36064.94,2026-08-14,Kulkarni Machine Tools,settled
TXN-00055,BARB000000001055,5011.76,2026-08-24,Anand Dairy Products,settled
TXN-00049,PUNB000000001049,98233.22,2026-08-26,Luthra Leather Works,settled
TXN-00074,PUNB000000001072,42032.5,2026-08-18,Dubey Logistics Pvt Ltd,settled
TXN-00002,YESB000000001002,7571.8,2026-08-26,Choudhary Marble Industries,settled
TXN-00050,UPI/498504391/001050,68592.93,2026-08-23,Verma Transport Services,settled
TXN-00043,KKBK000000001043,485634.35,2026-08-08,Gupta Steel Works,settled
TXN-00005,HDFC000000001005,64317.05,2026-08-04,Bhatia Hardware Store,settled
TXN-00003,UPI/190789695/001003,329567.44,2026-08-17,Bajaj Cycle Components,settled
TXN-00001,UPI/756472591/001001,35217.72,2026-08-18,Chopra Medical Supplies,settled
TXN-00056,HDFC000000001056,12056.17,2026-08-22,Malhotra Furniture House,settled
TXN-00047,KKBK000000001047,8689.62,2026-08-26,Rathore Sand & Gravel,settled
TXN-00073,CNRB000000001071,81719.71,2026-08-18,Tiwari Oil Mills,pending
TXN-00030,UPI/361886131/001030,5186.86,2026-08-05,Patil Sugar Factory,settled
TXN-00032,UPI/522125122/001032,10495.82,2026-08-16,Tak Surgical Instruments,settled
TXN-00040,UPI/704926440/001040,2794.33,2026-08-02,Reddy Agro Industries,settled
TXN-00064,UPI/221499273/001062-PART2,43962.16,2026-08-25,Yadav Agri Equipments,settled
TXN-00060,BARB000000001060,23286.5,2026-08-03,Bala Krishnan Traders,settled
TXN-00058,UTIB000000001058,65400.28,2026-08-11,K. Murthy Jewellers,settled
TXN-00011,UPI/347936215/001011,11024.95,2026-08-22,Mahajan Paper Trading,settled
TXN-00036,UTIB000000001036,13253.85,2026-08-13,Banerjee Tea Estate,settled
TXN-00025,KKBK000000001025,444793.21,2026-08-19,Bose Scientific Instruments,settled
TXN-00066,IOBA000000001063-PART2,18579.17,2026-08-29,Patel Fabrics & Textiles,settled
TXN-00072,UTIB000000001070,83095.5,2026-08-10,Nambiar Ayurvedic Pharmacy,settled
TXN-00029,IOBA000000001029,194492.74,2026-08-27,Pandey Book Depot,settled
TXN-00053,CNRB000000001053,10950.31,2026-08-12,Deshpande Polymers,settled
TXN-00044,IOBA000000001044,63598.05,2026-08-10,Menon Rubbers Ltd,settled
TXN-00006,UPI/247093719/001006,162461.4,2026-08-07,Godrej Appliances Dealer,settled
TXN-00042,ICIC000000001042,5335.77,2026-08-25,Hegde Plantation Co,settled
TXN-00013,ICIC000000001013,249159.85,2026-08-06,Kapoor Garments,settled
TXN-00071,UTIB000000001070,40561.92,2026-08-08,Sethi Wine & Spirits,settled
TXN-00039,HDFC000000001039,143601.03,2026-08-25,Das Paper Mills,settled
TXN-00034,CNRB000000001034,31043.99,2026-08-16,Shaikh Hardware Trading,settled
TXN-00024,IOBA000000001024,3785.57,2026-08-16,Balakrishnan Traders,settled
TXN-00048,UPI/667689049/001048,14483.49,2026-08-15,Rajan Marine Exports,settled
