invoice_id,customer_name,amount,invoice_date,payment_ref
INV-2026-0012,Thakur Rice Mills,1892.94,2026-08-07,PUNB000000001012
INV-2026-0019,Kurien Frozen Foods,8000.71,2026-08-12,YESB000000001019
INV-2026-0047,Rathore Sand & Gravel,8693.62,2026-08-26,KKBK000000001047
INV-2026-0050,Verma Transport Services,68592.93,2026-08-21,UPI/498504391/001050
INV-2026-0018,Fernandes Seafood Exports,3186.31,2026-08-10,UPI/619782256/001018
INV-2026-0023,Sabharwal Imports,66568.93,2026-08-26,UTIB000000001023
INV-2026-0069,Oberoi Hotels Supply,60732.44,2026-08-14,ICIC000000001069
INV-2026-0059,Siddiqui Leather Exports,174827.06,2026-08-12,UPI/806935904/001059
INV-2026-0063,Patel Fabrics & Textiles,27319.88,2026-08-28,IOBA000000001063
INV-2026-0056,Malhotra Furniture House,12056.17,2026-08-21,HDFC000000001056
INV-2026-0045,Birla Textiles Outlet,47760.85,2026-08-30,IOBA000000001045
INV-2026-0015,D'Souza Bakery Chain,13591.16,2026-08-10,CNRB000000001015
INV-2026-0021,Shetty Cashew Industries,186813.25,2026-08-14,UPI/656869759/001021
INV-2026-0014,Thomas Rubber Estate,41064.65,2026-08-13,SBIN000000001014
INV-2026-0055,Anand Dairy Products,5011.76,2026-08-22,BARB000000001055
INV-2026-0064,Khan Textile Mills,32036.72,2026-08-02,UPI/740756401/001064
INV-2026-0011,Mahajan Paper Trading,11024.95,2026-08-22,UPI/347936215/001011
INV-2026-0005,Bhatia Hardware Store,64317.05,2026-08-04,HDFC000000001005
INV-2026-0065,Chatterjee Electricals,106379.44,2026-08-26,HDFC000000001065
INV-2026-0057,Rajesh Kumar Enterprises,6097.01,2026-08-08,UPI/991347187/001057
INV-2026-0016,Tata Components Dist,50357.88,2026-08-08,UPI/368902208/001016
INV-2026-0009,Shekhawat Transport Corp,15571.58,2026-08-23,KKBK000000001009
INV-2026-0036,Banerjee Tea Estate,13253.85,2026-08-13,UTIB000000001036
INV-2026-0007,Mehta Pharmaceuticals,116991.39,2026-08-07,KKBK000000001007
INV-2026-0041,Pillai Coir Industries,145125.17,2026-08-30,UPI/457087411/001041
INV-2026-0025,Bose Scientific Instruments,444793.21,2026-08-19,KKBK000000001025
INV-2026-0013,Kapoor Garments,249159.85,2026-08-06,ICIC000000001013
INV-2026-0044,Menon Rubbers Ltd,63595.05,2026-08-10,IOBA000000001044
INV-2026-0010,Chauhan Plywood Industries,262696.63,2026-08-19,HDFC000000001010
INV-2026-0049,Luthra Leather Works,98236.22,2026-08-26,PUNB000000001049
INV-2026-0022,Jadhav Auto Spares,101051.21,2026-08-12,YESB000000001022
INV-2026-0062,Yadav Agri Equipments,100820.19,2026-08-24,UPI/221499273/001062
INV-2026-0017,Rao Granite Exports,10535.49,2026-08-07,UPI/725487576/001017
INV-2026-0002,Choudhary Marble Industries,7571.8,2026-08-26,YESB000000001002
INV-2026-0035,Roy Cement Distributors,23089.52,2026-08-01,UPI/948916208/001035
INV-2026-0051,Tandon Steel Tubes,139733.24,2026-08-02,UPI/187805118/001051
INV-2026-0006,Godrej Appliances Dealer,162461.4,2026-08-07,UPI/247093719/001006
INV-2026-0070,Sethi Wine & Spirits,40561.92,2026-08-08,UTIB000000001070
INV-2026-0038,Agarwal Sweets & Namkeen,20677.04,2026-08-29,CNRB000000001038
INV-2026-0052,Mukherjee Engineering Works,64690.62,2026-08-26,UTIB000000001052
INV-2026-0040,Reddy Agro Industries,2794.33,2026-08-02,UPI/704926440/001040
INV-2026-0058,Krishnamurthy Jewellers,65400.28,2026-08-11,UTIB000000001058
INV-2026-0068,Shinde Construction Materials,44072.09,2026-08-21,UPI/981136652/001068
INV-2026-0030,Patil Sugar Factory,5186.86,2026-08-05,UPI/361886131/001030
INV-2026-0039,Das Paper Mills,143601.03,2026-08-25,HDFC000000001039
INV-2026-0067,Trivedi Optical House,14932.34,2026-08-07,PUNB000000001067
INV-2026-0027,Saxena IT Solutions,14156.68,2026-08-19,UPI/860202867/001027
INV-2026-0033,Joshi Construction Co,40503.21,2026-08-10,UPI/232880924/001033
INV-2026-0024,Balakrishnan Traders,3785.57,2026-08-16,IOBA000000001024
INV-2026-0054,Nair Spices Export,303523.85,2026-08-03,ICIC000000001054
INV-2026-0004,Wadia Group Trading,114163.2,2026-08-24,UTIB000000001004
INV-2026-0048,Rajan Marine Exports,14479.49,2026-08-15,UPI/667689049/001048
INV-2026-0001,Chopra Medical Supplies,35217.72,2026-08-18,UPI/756472591/001001
INV-2026-0026,Kulkarni Machine Tools,36064.94,2026-08-14,CNRB000000001026
INV-2026-0060,Balakrishnan Traders,23286.5,2026-08-03,BARB000000001060
INV-2026-0053,Deshpande Polymers,10950.31,2026-08-09,CNRB000000001053
INV-2026-0034,Shaikh Hardware Trading,31043.99,2026-08-16,CNRB000000001034
INV-2026-0042,Hegde Plantation Co,5335.77,2026-08-25,ICIC000000001042
INV-2026-0008,Singh Auto Components,12197.77,2026-08-12,UPI/877331970/001008
INV-2026-0046,Grover Bakery Products,183085.61,2026-08-12,SBIN000000001046
INV-2026-0029,Pandey Book Depot,194492.74,2026-08-27,IOBA000000001029
INV-2026-0028,Ansari Handicrafts,6437.63,2026-08-01,UPI/682890945/001028
INV-2026-0032,Tak Surgical Instruments,10495.82,2026-08-16,UPI/522125122/001032
INV-2026-0037,Iyer Silk Emporium,82091.87,2026-08-12,UPI/732488174/001037
INV-2026-0003,Bajaj Cycle Components,329567.44,2026-08-17,UPI/190789695/001003
INV-2026-0031,Sinha Dairy Farm,49125.83,2026-08-22,IOBA000000001031
INV-2026-0061,Sharma Electronics Pvt Ltd,174015.13,2026-08-15,HDFC000000001061
INV-2026-0043,Gupta Steel Works,485629.35,2026-08-08,KKBK000000001043
INV-2026-0020,Krishnamurthy Jewellers,129920.29,2026-08-05,PUNB000000001020
INV-2026-0066,Rajesh Kumar Enterprises,45450.86,2026-08-06,UTIB000000001066
